period,timestamp,side,number,amount
20260831100011066,2026-08-31T11:00:00Z,Big,5,50000
20260831100011065,2026-08-31T10:59:00Z,Big,9,20000
20260831100011064,2026-08-31T10:58:00Z,Small,3,10000
20260831100011063,2026-08-31T10:57:00Z,Big,9,15000
20260831100011062,2026-08-31T10:56:00Z,Small,1,5000
20260831100011061,2026-08-31T10:55:00Z,Big,6,40000
20260831100011060,2026-08-31T10:54:00Z,Small,1,3000
20260831100011059,2026-08-31T10:53:00Z,Big,5,25000
20260831100011058,2026-08-31T10:52:00Z,Big,9,10000
20260831100011057,2026-08-31T10:51:00Z,Big,5,12000
20260831100011049,2026-08-31T10:41:00Z,Small,3,7000
20260831100011048,2026-08-31T10:40:00Z,Big,5,8000
20260831100011047,2026-08-31T10:39:00Z,Big,7,9000
20260831100011046,2026-08-31T10:38:00Z,Big,6,15000
20260831100011045,2026-08-31T10:37:00Z,Small,2,6000
20260831100011044,2026-08-31T10:36:00Z,Big,6,11000
20260831100011043,2026-08-31T10:35:00Z,Big,9,13000
20260831100011042,2026-08-31T10:34:00Z,Big,7,5000
20260831100011041,2026-08-31T10:33:00Z,Small,1,4000
20260831100011040,2026-08-31T10:32:00Z,Small,4,3500
